Date,Series,Amount,Serial,SN,Number,Place
05/08/2020,AK-457,7000000,AH,AH 143181,143181,THRISSUR
05/08/2020,AK-457,500000,AJ,AJ 166690,166690,THIRUVANANTHAPURAM
05/08/2020,AK-457,100000,AA,AA 512402,512402,VAIKKOM
05/08/2020,AK-457,100000,AB,AB 336826,336826,THRISSUR
05/08/2020,AK-457,100000,AC,AC 562565,562565,KOZHIKKODE
05/08/2020,AK-457,100000,AD,AD 567797,567797,KOTTAYAM
05/08/2020,AK-457,100000,AE,AE 284209,284209,GURUVAYOOR
05/08/2020,AK-457,100000,AF,AF 435852,435852,ALAPPUZHA
05/08/2020,AK-457,100000,AG,AG 280702,280702,ADIMALY
05/08/2020,AK-457,100000,AH,AH 232822,232822,KOLLAM
05/08/2020,AK-457,100000,AJ,AJ 142932,142932,THRISSUR
05/08/2020,AK-457,100000,AK,AK 475728,475728,THIRUVANANTHAPURAM
05/08/2020,AK-457,100000,AL,AL 190465,190465,THRISSUR
05/08/2020,AK-457,100000,AM,AM 288586,288586,THIRUR
19/08/2020,AK-459,7000000,AD,AD 242490,242490,WAYANADU
19/08/2020,AK-459,500000,AD,AD 337997,337997,GURUVAYOOR
19/08/2020,AK-459,100000,AA,AA 167786,167786,PALAKKAD
19/08/2020,AK-459,100000,AB,AB 184919,184919,KOTTAYAM
19/08/2020,AK-459,100000,AC,AC 202160,202160,ERNAKULAM
19/08/2020,AK-459,100000,AD,AD 278302,278302,MANANTHAVADY
19/08/2020,AK-459,100000,AE,AE 166002,166002,PALAKKAD
19/08/2020,AK-459,100000,AF,AF 661213,661213,CHERTHALA
19/08/2020,AK-459,100000,AG,AG 508532,508532,PUNALUR
19/08/2020,AK-459,100000,AH,AH 122758,122758,NEYYATTINKARA
19/08/2020,AK-459,100000,AJ,AJ 235058,235058,PALAKKAD
19/08/2020,AK-459,100000,AK,AK 287225,287225,PALAKKAD
19/08/2020,AK-459,100000,AL,AL 502033,502033,IDUKKI
19/08/2020,AK-459,100000,AM,AM 570865,570865,ALAPPUZHA
02/09/2020,AK-461,7000000,AM,AM 605405,605405,ERNAKULAM
02/09/2020,AK-461,500000,AB,AB 622270,622270,THIRUVANANTHAPURAM
02/09/2020,AK-461,100000,AA,AA 537231,537231,KARUNAGAPALLY
02/09/2020,AK-461,100000,AB,AB 580702,580702,WAYANADU
02/09/2020,AK-461,100000,AC,AC 585198,585198,THRISSUR
